"","0to9","10to19","20to29","30to39","40to49","50to59","60to69","70to79","80+","POPTOTAL"
"New York",0.115635238575127,0.118009279298978,0.142661200686166,0.136436929929467,0.122750452622833,0.136822198554933,0.115288450758049,0.0691645453182903,0.0432317042561565,19542209
"North Carolina",0.119247622698057,0.129857024814082,0.137373382307904,0.127430510746734,0.128528875286268,0.132566099298703,0.116244238521826,0.0723356594328375,0.0364165868935882,10383620
"North Dakota",0.13801364861718,0.124895240876911,0.164104426262076,0.136225671872718,0.104882794769477,0.117445995603077,0.110021747796605,0.0603978281147831,0.0440126460871727,760077
"Ohio",0.12001744822379,0.128293891188305,0.133948908767416,0.125121370207406,0.119724534327644,0.134630292874544,0.123628912312495,0.072303451268247,0.0423311908301525,11689442
"Oklahoma",0.133962824483101,0.135490564606999,0.140636035950586,0.132835025623377,0.116988779580627,0.122497672504152,0.111041396837345,0.0690206815536792,0.0375270188601344,3943079
"Oregon",0.113772763727795,0.118368640372175,0.135661163148133,0.140331490130677,0.126404981682115,0.123700907220323,0.125927020056014,0.0770155341107826,0.0388174995519855,4190713
"Pennsylvania",0.111548708290583,0.122239842711754,0.131630288294113,0.12595583998201,0.118167011007991,0.13875026743062,0.126954039412636,0.0765351298424463,0.0482188730278456,12807060
"Rhode Island",0.10333060629992,0.123186562188184,0.144691979211493,0.12793443770305,0.118152111716943,0.142058894463807,0.122866884514076,0.0715122740148395,0.0462662498876872,1057315
"South Carolina",0.117748042092576,0.126560174440961,0.13503301550099,0.124999434514519,0.121052247514667,0.131997292750555,0.125060408601123,0.0808056132350746,0.0367437713495355,5084127
"South Dakota",0.139298486230993,0.134381428984341,0.134135462773524,0.128478239924737,0.107843148367498,0.123721004040873,0.122541046319858,0.0663723384359043,0.0432288449222713,882235
"Tennessee",0.120962007441643,0.126357125026403,0.138570105509445,0.128727431717235,0.125582384664129,0.132425506018455,0.117659648951774,0.0732668046280582,0.0364489860428567,6770010
"Texas",0.141867987928999,0.143675850803319,0.144880930128359,0.143103971190702,0.128852761904331,0.119103528013617,0.0957375388237237,0.0546093813829738,0.0281680498239747,28701845
"Utah",0.161994618970265,0.163165728439897,0.160746637647278,0.142050327338067,0.118921389830455,0.0964431741432189,0.0836103198090541,0.0482094077862013,0.0248583960355635,3161105
"Vermont",0.097322524864322,0.121421238098736,0.133683751690486,0.116816408776,0.115805709413555,0.145112797561548,0.142309024922601,0.0834537497265683,0.0440747949461839,626299
"Virginia",0.120382592218426,0.125696829596305,0.138887268078122,0.136745371541681,0.127303369401428,0.13505371471239,0.112311267674257,0.0682613879240662,0.0353581988533269,8517685
"Washington",0.123363515880838,0.120740496664429,0.142107898371873,0.145960283672508,0.124891730456178,0.126174443384733,0.115569435761575,0.0670433148508193,0.0341488809570477,7535591
"West Virginia",0.108703356679913,0.117184212041873,0.125542132379978,0.116831466049998,0.124052514298119,0.136071904806206,0.138613115727266,0.0872229531872289,0.0457783448294194,1805832
"Wisconsin",0.117686935114546,0.128624280304281,0.13251001794423,0.12638348773077,0.117873051454804,0.139496089148695,0.124536429263406,0.0707933578828011,0.0420963511564671,5813568
"Wyoming",0.127668818164667,0.130538636092201,0.133010348999631,0.135108189366442,0.114403266538235,0.124163763096357,0.128151736862967,0.0705995980870188,0.0363556427924817,577737
"Puerto Rico",0.0906767218971987,0.122098378387514,0.13582761138512,0.116604744749312,0.12674447827694,0.135963129152188,0.124243815554373,0.0937260281432532,0.0541150924541016,3195153
